external_gene_name	ensembl_gene_id	go_id	name_1006
SLC25A17	ENSG00000100372	GO:0005743	mitochondrial inner membrane
DAO	ENSG00000110887	GO:0055114	oxidation-reduction process
DAO	ENSG00000110887	GO:0016491	oxidoreductase activity
DAO	ENSG00000110887	GO:0071949	FAD binding
DAO	ENSG00000110887	GO:0003884	D-amino-acid oxidase activity
DAO	ENSG00000110887	GO:0046416	D-amino acid metabolic process
DAO	ENSG00000110887	GO:0005829	cytosol
DAO	ENSG00000110887	GO:0005515	protein binding
DAO	ENSG00000110887	GO:0048037	cofactor binding
DAO	ENSG00000110887	GO:0042802	identical protein binding
DAO	ENSG00000110887	GO:0005741	mitochondrial outer membrane
DAO	ENSG00000110887	GO:0005777	peroxisome
DAO	ENSG00000110887	GO:0005778	peroxisomal membrane
DAO	ENSG00000110887	GO:0034641	cellular nitrogen compound metabolic process
DAO	ENSG00000110887	GO:0006625	protein targeting to peroxisome
DAO	ENSG00000110887	GO:0005782	peroxisomal matrix
DAO	ENSG00000110887	GO:0042416	dopamine biosynthetic process
DAO	ENSG00000110887	GO:0006562	proline catabolic process
DAO	ENSG00000110887	GO:0036088	D-serine catabolic process
DAO	ENSG00000110887	GO:0055130	D-alanine catabolic process
DAO	ENSG00000110887	GO:0070178	D-serine metabolic process
AKAP11	ENSG00000023516	GO:0005737	cytoplasm
AKAP11	ENSG00000023516	GO:0005730	nucleolus
AKAP11	ENSG00000023516	GO:0005829	cytosol
AKAP11	ENSG00000023516	GO:0005886	plasma membrane
AKAP11	ENSG00000023516	GO:0005856	cytoskeleton
AKAP11	ENSG00000023516	GO:0005815	microtubule organizing center
AKAP11	ENSG00000023516	GO:0005515	protein binding
AKAP11	ENSG00000023516	GO:0035556	intracellular signal transduction
AKAP11	ENSG00000023516	GO:0005777	peroxisome
AKAP11	ENSG00000023516	GO:0008104	protein localization
AKAP11	ENSG00000023516	GO:0051018	protein kinase A binding
AKAP11	ENSG00000023516	GO:0008157	protein phosphatase 1 binding
BAAT	ENSG00000136881	GO:0006637	acyl-CoA metabolic process
BAAT	ENSG00000136881	GO:0016790	thiolester hydrolase activity
BAAT	ENSG00000136881	GO:0005737	cytoplasm
BAAT	ENSG00000136881	GO:0016740	transferase activity
BAAT	ENSG00000136881	GO:0016787	hydrolase activity
BAAT	ENSG00000136881	GO:0016746	transferase activity, transferring acyl groups
BAAT	ENSG00000136881	GO:0006629	lipid metabolic process
BAAT	ENSG00000136881	GO:0005829	cytosol
BAAT	ENSG00000136881	GO:0006631	fatty acid metabolic process
BAAT	ENSG00000136881	GO:0005515	protein binding
BAAT	ENSG00000136881	GO:0005777	peroxisome
BAAT	ENSG00000136881	GO:0052689	carboxylic ester hydrolase activity
BAAT	ENSG00000136881	GO:0006625	protein targeting to peroxisome
BAAT	ENSG00000136881	GO:0005782	peroxisomal matrix
BAAT	ENSG00000136881	GO:0016290	palmitoyl-CoA hydrolase activity
BAAT	ENSG00000136881	GO:0047617	acyl-CoA hydrolase activity
BAAT	ENSG00000136881	GO:0102991	myristoyl-CoA hydrolase activity
BAAT	ENSG00000136881	GO:0033882	choloyl-CoA hydrolase activity
BAAT	ENSG00000136881	GO:0052815	medium-chain acyl-CoA hydrolase activity
BAAT	ENSG00000136881	GO:0006699	bile acid biosynthetic process
BAAT	ENSG00000136881	GO:0006544	glycine metabolic process
BAAT	ENSG00000136881	GO:0016410	N-acyltransferase activity
BAAT	ENSG00000136881	GO:0047963	glycine N-choloyltransferase activity
BAAT	ENSG00000136881	GO:0052816	long-chain acyl-CoA hydrolase activity
BAAT	ENSG00000136881	GO:0052817	very long chain acyl-CoA hydrolase activity
BAAT	ENSG00000136881	GO:0002152	bile acid conjugation
BAAT	ENSG00000136881	GO:0008206	bile acid metabolic process
BAAT	ENSG00000136881	GO:0019530	taurine metabolic process
BAAT	ENSG00000136881	GO:0001889	liver development
BAAT	ENSG00000136881	GO:0031100	animal organ regeneration
HAO1	ENSG00000101323	GO:0055114	oxidation-reduction process
HAO1	ENSG00000101323	GO:0003824	catalytic activity
HAO1	ENSG00000101323	GO:0016491	oxidoreductase activity
HAO1	ENSG00000101323	GO:0010181	FMN binding
HAO1	ENSG00000101323	GO:0005777	peroxisome
HAO1	ENSG00000101323	GO:0005829	cytosol
HAO1	ENSG00000101323	GO:0001561	fatty acid alpha-oxidation
HAO1	ENSG00000101323	GO:0004459	L-lactate dehydrogenase activity
HAO1	ENSG00000101323	GO:0019516	lactate oxidation
HAO1	ENSG00000101323	GO:0034641	cellular nitrogen compound metabolic process
HAO1	ENSG00000101323	GO:0003973	(S)-2-hydroxy-acid oxidase activity
HAO1	ENSG00000101323	GO:0006979	response to oxidative stress
HAO1	ENSG00000101323	GO:0006625	protein targeting to peroxisome
HAO1	ENSG00000101323	GO:0005782	peroxisomal matrix
HAO1	ENSG00000101323	GO:0052852	very-long-chain-(S)-2-hydroxy-acid oxidase activity
HAO1	ENSG00000101323	GO:0052853	long-chain-(S)-2-hydroxy-long-chain-acid oxidase activity
HAO1	ENSG00000101323	GO:0052854	medium-chain-(S)-2-hydroxy-acid oxidase activity
HAO1	ENSG00000101323	GO:0008891	glycolate oxidase activity
HAO1	ENSG00000101323	GO:0046296	glycolate catabolic process
PHYH	ENSG00000107537	GO:0046872	metal ion binding
PHYH	ENSG00000107537	GO:0016491	oxidoreductase activity
PHYH	ENSG00000107537	GO:0055114	oxidation-reduction process
PHYH	ENSG00000107537	GO:0006631	fatty acid metabolic process
PHYH	ENSG00000107537	GO:0005515	protein binding
PHYH	ENSG00000107537	GO:0048037	cofactor binding
PHYH	ENSG00000107537	GO:0051213	dioxygenase activity
PHYH	ENSG00000107537	GO:0005777	peroxisome
PHYH	ENSG00000107537	GO:0005829	cytosol
PHYH	ENSG00000107537	GO:0001561	fatty acid alpha-oxidation
PHYH	ENSG00000107537	GO:0006625	protein targeting to peroxisome
PHYH	ENSG00000107537	GO:0005782	peroxisomal matrix
PHYH	ENSG00000107537	GO:0031418	L-ascorbic acid binding
PHYH	ENSG00000107537	GO:0008198	ferrous iron binding
PHYH	ENSG00000107537	GO:0031406	carboxylic acid binding
PHYH	ENSG00000107537	GO:0048244	phytanoyl-CoA dioxygenase activity
PHYH	ENSG00000107537	GO:0006103	2-oxoglutarate metabolic process
PHYH	ENSG00000107537	GO:0006720	isoprenoid metabolic process
PHYH	ENSG00000107537	GO:0097089	methyl-branched fatty acid metabolic process
PHYH	ENSG00000107537	GO:0003824	catalytic activity
PHYH	ENSG00000107537	GO:0019606	2-oxobutyrate catabolic process
PHYH	ENSG00000107537	GO:0005739	mitochondrion
MPV17	ENSG00000115204	GO:0016021	integral component of membrane
MPV17	ENSG00000115204	GO:0016020	membrane
MPV17	ENSG00000115204	GO:0005743	mitochondrial inner membrane
MPV17	ENSG00000115204	GO:0005739	mitochondrion
MPV17	ENSG00000115204	GO:0055085	transmembrane transport
MPV17	ENSG00000115204	GO:0005777	peroxisome
MPV17	ENSG00000115204	GO:0005737	cytoplasm
MPV17	ENSG00000115204	GO:0005829	cytosol
MPV17	ENSG00000115204	GO:0006625	protein targeting to peroxisome
MPV17	ENSG00000115204	GO:0042592	homeostatic process
MPV17	ENSG00000115204	GO:0005778	peroxisomal membrane
MPV17	ENSG00000115204	GO:2000377	regulation of reactive oxygen species metabolic process
MPV17	ENSG00000115204	GO:0000002	mitochondrial genome maintenance
MPV17	ENSG00000115204	GO:0032836	glomerular basement membrane development
MPV17	ENSG00000115204	GO:0048839	inner ear development
MPV17	ENSG00000115204	GO:0034614	cellular response to reactive oxygen species
MPV17	ENSG00000115204	GO:0015267	channel activity
MPV17	ENSG00000115204	GO:1901858	regulation of mitochondrial DNA metabolic process
SLC27A2	ENSG00000140284	GO:0016021	integral component of membrane
SLC27A2	ENSG00000140284	GO:0003824	catalytic activity
SLC27A2	ENSG00000140284	GO:0004467	long-chain fatty acid-CoA ligase activity
SLC27A2	ENSG00000140284	GO:0031957	very long-chain fatty acid-CoA ligase activity
SLC27A2	ENSG00000140284	GO:0015908	fatty acid transport
SLC27A2	ENSG00000140284	GO:0016020	membrane
SLC27A2	ENSG00000140284	GO:0000166	nucleotide binding
SLC27A2	ENSG00000140284	GO:0005524	ATP binding
SLC27A2	ENSG00000140284	GO:0005783	endoplasmic reticulum
SLC27A2	ENSG00000140284	GO:0005789	endoplasmic reticulum membrane
SLC27A2	ENSG00000140284	GO:0043231	intracellular membrane-bounded organelle
SLC27A2	ENSG00000140284	GO:0006629	lipid metabolic process
SLC27A2	ENSG00000140284	GO:0006631	fatty acid metabolic process
SLC27A2	ENSG00000140284	GO:0005886	plasma membrane
SLC27A2	ENSG00000140284	GO:0016874	ligase activity
SLC27A2	ENSG00000140284	GO:0005777	peroxisome
SLC27A2	ENSG00000140284	GO:0005778	peroxisomal membrane
SLC27A2	ENSG00000140284	GO:0005788	endoplasmic reticulum lumen
SLC27A2	ENSG00000140284	GO:0005829	cytosol
SLC27A2	ENSG00000140284	GO:0070062	extracellular exosome
SLC27A2	ENSG00000140284	GO:0001561	fatty acid alpha-oxidation
SLC27A2	ENSG00000140284	GO:0030176	integral component of endoplasmic reticulum membrane
SLC27A2	ENSG00000140284	GO:0006625	protein targeting to peroxisome
SLC27A2	ENSG00000140284	GO:0043312	neutrophil degranulation
SLC27A2	ENSG00000140284	GO:0035579	specific granule membrane
SLC27A2	ENSG00000140284	GO:0019899	enzyme binding
SLC27A2	ENSG00000140284	GO:0005779	integral component of peroxisomal membrane
SLC27A2	ENSG00000140284	GO:0006699	bile acid biosynthetic process
SLC27A2	ENSG00000140284	GO:0097089	methyl-branched fatty acid metabolic process
SLC27A2	ENSG00000140284	GO:0044539	long-chain fatty acid import into cell
SLC27A2	ENSG00000140284	GO:0003996	acyl-CoA ligase activity
SLC27A2	ENSG00000140284	GO:0005324	long-chain fatty acid transporter activity
SLC27A2	ENSG00000140284	GO:0015245	fatty acid transmembrane transporter activity
SLC27A2	ENSG00000140284	GO:0047676	arachidonate-CoA ligase activity
SLC27A2	ENSG00000140284	GO:0047747	cholate-CoA ligase activity
SLC27A2	ENSG00000140284	GO:0050197	phytanate-CoA ligase activity
SLC27A2	ENSG00000140284	GO:0070251	pristanate-CoA ligase activity
SLC27A2	ENSG00000140284	GO:0102391	decanoate-CoA ligase activity
SLC27A2	ENSG00000140284	GO:0000038	very long-chain fatty acid metabolic process
SLC27A2	ENSG00000140284	GO:0001676	long-chain fatty acid metabolic process
SLC27A2	ENSG00000140284	GO:0006635	fatty acid beta-oxidation
SLC27A2	ENSG00000140284	GO:0042760	very long-chain fatty acid catabolic process
MAVS	ENSG00000088888	GO:0005739	mitochondrion
MAVS	ENSG00000088888	GO:0051607	defense response to virus
MAVS	ENSG00000088888	GO:0051091	positive regulation of DNA-binding transcription factor activity
MAVS	ENSG00000088888	GO:0045944	positive regulation of transcription by RNA polymerase II
MAVS	ENSG00000088888	GO:0001934	positive regulation of protein phosphorylation
MAVS	ENSG00000088888	GO:0016020	membrane
MAVS	ENSG00000088888	GO:0016021	integral component of membrane
MAVS	ENSG00000088888	GO:0005515	protein binding
MAVS	ENSG00000088888	GO:0007165	signal transduction
MAVS	ENSG00000088888	GO:0005741	mitochondrial outer membrane
MAVS	ENSG00000088888	GO:0002376	immune system process
MAVS	ENSG00000088888	GO:0045087	innate immune response
MAVS	ENSG00000088888	GO:0005777	peroxisome
MAVS	ENSG00000088888	GO:0005778	peroxisomal membrane
MAVS	ENSG00000088888	GO:0042742	defense response to bacterium
MAVS	ENSG00000088888	GO:0031966	mitochondrial membrane
MAVS	ENSG00000088888	GO:0045071	negative regulation of viral genome replication
MAVS	ENSG00000088888	GO:1904469	positive regulation of tumor necrosis factor secretion
MAVS	ENSG00000088888	GO:2000778	positive regulation of interleukin-6 secretion
MAVS	ENSG00000088888	GO:0016032	viral process
MAVS	ENSG00000088888	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling
MAVS	ENSG00000088888	GO:0032727	positive regulation of interferon-alpha production
MAVS	ENSG00000088888	GO:0032728	positive regulation of interferon-beta production
MAVS	ENSG00000088888	GO:0032757	positive regulation of interleukin-8 production
MAVS	ENSG00000088888	GO:0032760	positive regulation of tumor necrosis factor production
MAVS	ENSG00000088888	GO:1900063	regulation of peroxisome organization
MAVS	ENSG00000088888	GO:0019901	protein kinase binding
MAVS	ENSG00000088888	GO:0002230	positive regulation of defense response to virus by host
MAVS	ENSG00000088888	GO:0032480	negative regulation of type I interferon production
MAVS	ENSG00000088888	GO:0071360	cellular response to exogenous dsRNA
MAVS	ENSG00000088888	GO:0042307	positive regulation of protein import into nucleus
MAVS	ENSG00000088888	GO:0002735	positive regulation of myeloid dendritic cell cytokine production
MAVS	ENSG00000088888	GO:0035549	positive regulation of interferon-beta secretion
MAVS	ENSG00000088888	GO:0060760	positive regulation of response to cytokine stimulus
MAVS	ENSG00000088888	GO:1902741	positive regulation of interferon-alpha secretion
MAVS	ENSG00000088888	GO:0060340	positive regulation of type I interferon-mediated signaling pathway
MAVS	ENSG00000088888	GO:0035591	signaling adaptor activity
MAVS	ENSG00000088888	GO:0050700	CARD domain binding
MAVS	ENSG00000088888	GO:0002218	activation of innate immune response
MAVS	ENSG00000088888	GO:0071651	positive regulation of chemokine (C-C motif) ligand 5 production
MAVS	ENSG00000088888	GO:0071660	positive regulation of IP-10 production
HMGCL	ENSG00000117305	GO:0004419	hydroxymethylglutaryl-CoA lyase activity
HMGCL	ENSG00000117305	GO:0003824	catalytic activity
HMGCL	ENSG00000117305	GO:0046872	metal ion binding
HMGCL	ENSG00000117305	GO:0016829	lyase activity
HMGCL	ENSG00000117305	GO:0005739	mitochondrion
HMGCL	ENSG00000117305	GO:0005759	mitochondrial matrix
HMGCL	ENSG00000117305	GO:0030145	manganese ion binding
HMGCL	ENSG00000117305	GO:0000287	magnesium ion binding
HMGCL	ENSG00000117305	GO:0005777	peroxisome
HMGCL	ENSG00000117305	GO:0005829	cytosol
HMGCL	ENSG00000117305	GO:0032991	protein-containing complex
HMGCL	ENSG00000117305	GO:0006625	protein targeting to peroxisome
HMGCL	ENSG00000117305	GO:0005782	peroxisomal matrix
HMGCL	ENSG00000117305	GO:0006629	lipid metabolic process
HMGCL	ENSG00000117305	GO:0005198	structural molecule activity
HMGCL	ENSG00000117305	GO:0046951	ketone body biosynthetic process
HMGCL	ENSG00000117305	GO:0006552	leucine catabolic process
HMGCL	ENSG00000117305	GO:0000062	fatty-acyl-CoA binding
HMGCL	ENSG00000117305	GO:0031406	carboxylic acid binding
HMGCL	ENSG00000117305	GO:0001889	liver development
HMGCL	ENSG00000117305	GO:0006637	acyl-CoA metabolic process
HMGCL	ENSG00000117305	GO:0007005	mitochondrion organization
HMGCL	ENSG00000117305	GO:0007584	response to nutrient
HMGCL	ENSG00000117305	GO:0042594	response to starvation
HMGCL	ENSG00000117305	GO:0070542	response to fatty acid
PEX10	ENSG00000157911	GO:0016020	membrane
PEX10	ENSG00000157911	GO:0016021	integral component of membrane
PEX10	ENSG00000157911	GO:0046872	metal ion binding
PEX10	ENSG00000157911	GO:0005778	peroxisomal membrane
PEX10	ENSG00000157911	GO:0005777	peroxisome
PEX10	ENSG00000157911	GO:0005515	protein binding
PEX10	ENSG00000157911	GO:0016567	protein ubiquitination
PEX10	ENSG00000157911	GO:0006625	protein targeting to peroxisome
PEX10	ENSG00000157911	GO:0007031	peroxisome organization
PEX10	ENSG00000157911	GO:0016558	protein import into peroxisome matrix
PXMP4	ENSG00000101417	GO:0016020	membrane
PXMP4	ENSG00000101417	GO:0016021	integral component of membrane
PXMP4	ENSG00000101417	GO:0005777	peroxisome
PXMP4	ENSG00000101417	GO:0005778	peroxisomal membrane
PXMP4	ENSG00000101417	GO:0005515	protein binding
PXMP4	ENSG00000101417	GO:0008150	biological_process
ACSL1	ENSG00000151726	GO:0003824	catalytic activity
ACSL1	ENSG00000151726	GO:0016020	membrane
ACSL1	ENSG00000151726	GO:0016021	integral component of membrane
ACSL1	ENSG00000151726	GO:0000166	nucleotide binding
ACSL1	ENSG00000151726	GO:0005524	ATP binding
ACSL1	ENSG00000151726	GO:0005783	endoplasmic reticulum
ACSL1	ENSG00000151726	GO:0005789	endoplasmic reticulum membrane
ACSL1	ENSG00000151726	GO:0031090	organelle membrane
ACSL1	ENSG00000151726	GO:0043231	intracellular membrane-bounded organelle
ACSL1	ENSG00000151726	GO:0005739	mitochondrion
ACSL1	ENSG00000151726	GO:0006629	lipid metabolic process
ACSL1	ENSG00000151726	GO:0006631	fatty acid metabolic process
ACSL1	ENSG00000151726	GO:0016874	ligase activity
ACSL1	ENSG00000151726	GO:0005741	mitochondrial outer membrane
ACSL1	ENSG00000151726	GO:0005777	peroxisome
ACSL1	ENSG00000151726	GO:0005778	peroxisomal membrane
ACSL1	ENSG00000151726	GO:0035338	long-chain fatty-acyl-CoA biosynthetic process
ACSL1	ENSG00000151726	GO:0120162	positive regulation of cold-induced thermogenesis
ACSL1	ENSG00000151726	GO:0036109	alpha-linolenic acid metabolic process
ACSL1	ENSG00000151726	GO:0044539	long-chain fatty acid import into cell
ACSL1	ENSG00000151726	GO:0003996	acyl-CoA ligase activity
ACSL1	ENSG00000151726	GO:0004467	long-chain fatty acid-CoA ligase activity
ACSL1	ENSG00000151726	GO:0047676	arachidonate-CoA ligase activity
ACSL1	ENSG00000151726	GO:0050197	phytanate-CoA ligase activity
ACSL1	ENSG00000151726	GO:0102391	decanoate-CoA ligase activity
ACSL1	ENSG00000151726	GO:0001676	long-chain fatty acid metabolic process
ACSL1	ENSG00000151726	GO:0019216	regulation of lipid metabolic process
ACSL1	ENSG00000151726	GO:0043651	linoleic acid metabolic process
ACSL1	ENSG00000151726	GO:0000038	very long-chain fatty acid metabolic process
ACSL1	ENSG00000151726	GO:0007584	response to nutrient
ACSL1	ENSG00000151726	GO:0008610	lipid biosynthetic process
ACSL1	ENSG00000151726	GO:0010033	response to organic substance
ACSL1	ENSG00000151726	GO:0014070	response to organic cyclic compound
ACSL1	ENSG00000151726	GO:0015908	fatty acid transport
ACSL1	ENSG00000151726	GO:0019432	triglyceride biosynthetic process
ACSL1	ENSG00000151726	GO:0033211	adiponectin-activated signaling pathway
ACSL1	ENSG00000151726	GO:0034201	response to oleic acid
ACSL1	ENSG00000151726	GO:0042178	xenobiotic catabolic process
ACSL1	ENSG00000151726	GO:0042493	response to drug
ACSL1	ENSG00000151726	GO:0071902	positive regulation of protein serine/threonine kinase activity
ACSL1	ENSG00000151726	GO:0005886	plasma membrane
LACC1	ENSG00000179630	GO:0005515	protein binding
LACC1	ENSG00000179630	GO:0005777	peroxisome
LACC1	ENSG00000179630	GO:0005507	copper ion binding
ABCD3	ENSG00000117528	GO:0016021	integral component of membrane
ABCD3	ENSG00000117528	GO:0005524	ATP binding
ABCD3	ENSG00000117528	GO:0055085	transmembrane transport
ABCD3	ENSG00000117528	GO:0042803	protein homodimerization activity
ABCD3	ENSG00000117528	GO:0005777	peroxisome
ABCD3	ENSG00000117528	GO:0042626	ATPase-coupled transmembrane transporter activity
ABCD3	ENSG00000117528	GO:0016887	ATPase activity
ABCD3	ENSG00000117528	GO:0005324	long-chain fatty acid transporter activity
ABCD3	ENSG00000117528	GO:0015910	long-chain fatty acid import into peroxisome
ABCD3	ENSG00000117528	GO:0016020	membrane
ABCD3	ENSG00000117528	GO:0043231	intracellular membrane-bounded organelle
ABCD3	ENSG00000117528	GO:0000166	nucleotide binding
ABCD3	ENSG00000117528	GO:0006633	fatty acid biosynthetic process
ABCD3	ENSG00000117528	GO:0005515	protein binding
ABCD3	ENSG00000117528	GO:0005778	peroxisomal membrane
ABCD3	ENSG00000117528	GO:0005829	cytosol
ABCD3	ENSG00000117528	GO:0007031	peroxisome organization
ABCD3	ENSG00000117528	GO:0005782	peroxisomal matrix
ABCD3	ENSG00000117528	GO:0006635	fatty acid beta-oxidation
ABCD3	ENSG00000117528	GO:0043621	protein self-association
ABCD3	ENSG00000117528	GO:0014070	response to organic cyclic compound
ABCD3	ENSG00000117528	GO:0042493	response to drug
ABCD3	ENSG00000117528	GO:0042760	very long-chain fatty acid catabolic process
ABCD3	ENSG00000117528	GO:0005739	mitochondrion
VIM	ENSG00000026025	GO:0005882	intermediate filament
VIM	ENSG00000026025	GO:0005737	cytoplasm
VIM	ENSG00000026025	GO:0005634	nucleus
VIM	ENSG00000026025	GO:0005856	cytoskeleton
VIM	ENSG00000026025	GO:0005925	focal adhesion
VIM	ENSG00000026025	GO:0005829	cytosol
VIM	ENSG00000026025	GO:0045111	intermediate filament cytoskeleton
VIM	ENSG00000026025	GO:0005515	protein binding
VIM	ENSG00000026025	GO:0005777	peroxisome
VIM	ENSG00000026025	GO:0042802	identical protein binding
VIM	ENSG00000026025	GO:0005200	structural constituent of cytoskeleton
VIM	ENSG00000026025	GO:0070062	extracellular exosome
VIM	ENSG00000026025	GO:0071222	cellular response to lipopolysaccharide
VIM	ENSG00000026025	GO:0016032	viral process
VIM	ENSG00000026025	GO:1990904	ribonucleoprotein complex
VIM	ENSG00000026025	GO:0019904	protein domain specific binding
VIM	ENSG00000026025	GO:0016363	nuclear matrix
VIM	ENSG00000026025	GO:0019221	cytokine-mediated signaling pathway
VIM	ENSG00000026025	GO:0045727	positive regulation of translation
VIM	ENSG00000026025	GO:0097110	scaffold protein binding
VIM	ENSG00000026025	GO:0030049	muscle filament sliding
VIM	ENSG00000026025	GO:0003725	double-stranded RNA binding
VIM	ENSG00000026025	GO:0071225	cellular response to muramyl dipeptide
VIM	ENSG00000026025	GO:0005844	polysome
VIM	ENSG00000026025	GO:0005212	structural constituent of eye lens
VIM	ENSG00000026025	GO:1990254	keratin filament binding
VIM	ENSG00000026025	GO:0010628	positive regulation of gene expression
VIM	ENSG00000026025	GO:0010977	negative regulation of neuron projection development
VIM	ENSG00000026025	GO:0014002	astrocyte development
VIM	ENSG00000026025	GO:0032967	positive regulation of collagen biosynthetic process
VIM	ENSG00000026025	GO:0043488	regulation of mRNA stability
VIM	ENSG00000026025	GO:0045103	intermediate filament-based process
VIM	ENSG00000026025	GO:0045109	intermediate filament organization
VIM	ENSG00000026025	GO:0060020	Bergmann glial cell differentiation
VIM	ENSG00000026025	GO:0060395	SMAD protein signal transduction
VIM	ENSG00000026025	GO:0070307	lens fiber cell development
VIM	ENSG00000026025	GO:0071346	cellular response to interferon-gamma
VIM	ENSG00000026025	GO:0005886	plasma membrane
VIM	ENSG00000026025	GO:0031252	cell leading edge
VIM	ENSG00000026025	GO:0042995	cell projection
VIM	ENSG00000026025	GO:0043005	neuron projection
VIM	ENSG00000026025	GO:0045335	phagocytic vesicle
PEX1	ENSG00000127980	GO:0005524	ATP binding
PEX1	ENSG00000127980	GO:0006625	protein targeting to peroxisome
PEX1	ENSG00000127980	GO:0042623	ATPase activity, coupled
PEX1	ENSG00000127980	GO:0005778	peroxisomal membrane
PEX1	ENSG00000127980	GO:0005737	cytoplasm
PEX1	ENSG00000127980	GO:0016020	membrane
PEX1	ENSG00000127980	GO:0015031	protein transport
PEX1	ENSG00000127980	GO:0000166	nucleotide binding
PEX1	ENSG00000127980	GO:0005829	cytosol
PEX1	ENSG00000127980	GO:0005515	protein binding
PEX1	ENSG00000127980	GO:0005777	peroxisome
PEX1	ENSG00000127980	GO:0016887	ATPase activity
PEX1	ENSG00000127980	GO:0007031	peroxisome organization
PEX1	ENSG00000127980	GO:0070062	extracellular exosome
PEX1	ENSG00000127980	GO:0008022	protein C-terminus binding
PEX1	ENSG00000127980	GO:0016558	protein import into peroxisome matrix
PEX1	ENSG00000127980	GO:0044877	protein-containing complex binding
PEX1	ENSG00000127980	GO:0060152	microtubule-based peroxisome localization
PEX2	ENSG00000164751	GO:0046872	metal ion binding
PEX2	ENSG00000164751	GO:0016020	membrane
PEX2	ENSG00000164751	GO:0016021	integral component of membrane
PEX2	ENSG00000164751	GO:0005515	protein binding
PEX2	ENSG00000164751	GO:0005777	peroxisome
PEX2	ENSG00000164751	GO:0005778	peroxisomal membrane
PEX2	ENSG00000164751	GO:0000122	negative regulation of transcription by RNA polymerase II
PEX2	ENSG00000164751	GO:0016567	protein ubiquitination
PEX2	ENSG00000164751	GO:0031648	protein destabilization
PEX2	ENSG00000164751	GO:0006625	protein targeting to peroxisome
PEX2	ENSG00000164751	GO:0007031	peroxisome organization
PEX2	ENSG00000164751	GO:0016558	protein import into peroxisome matrix
PEX2	ENSG00000164751	GO:0005779	integral component of peroxisomal membrane
PEX2	ENSG00000164751	GO:0050680	negative regulation of epithelial cell proliferation
PEX2	ENSG00000164751	GO:0006635	fatty acid beta-oxidation
PEX2	ENSG00000164751	GO:0048147	negative regulation of fibroblast proliferation
PEX2	ENSG00000164751	GO:0000038	very long-chain fatty acid metabolic process
PEX2	ENSG00000164751	GO:0016593	Cdc73/Paf1 complex
AOC1	ENSG00000002726	GO:0055114	oxidation-reduction process
AOC1	ENSG00000002726	GO:0005507	copper ion binding
AOC1	ENSG00000002726	GO:0008131	primary amine oxidase activity
AOC1	ENSG00000002726	GO:0048038	quinone binding
AOC1	ENSG00000002726	GO:0009308	amine metabolic process
AOC1	ENSG00000002726	GO:0046872	metal ion binding
AOC1	ENSG00000002726	GO:0016491	oxidoreductase activity
AOC1	ENSG00000002726	GO:0008270	zinc ion binding
AOC1	ENSG00000002726	GO:0005615	extracellular space
AOC1	ENSG00000002726	GO:0042803	protein homodimerization activity
AOC1	ENSG00000002726	GO:0005886	plasma membrane
AOC1	ENSG00000002726	GO:0005576	extracellular region
AOC1	ENSG00000002726	GO:0005509	calcium ion binding
AOC1	ENSG00000002726	GO:0005777	peroxisome
AOC1	ENSG00000002726	GO:0005923	bicellular tight junction
AOC1	ENSG00000002726	GO:0008201	heparin binding
