gene_id	gene_name	UPF1_log2FC	UPF1_padj	NBAS_log2FC	NBAS_padj	Frac-seq	APEX-seq	ER-RiboProf	ER-overlap
ENSG00000005189	REXO5	-0.084548008	0.747727172	-0.005480728	0.991756042	0	0	0	0
ENSG00000005194	CIAPIN1	-0.014391147	0.954852507	-0.038775454	0.916659435	0	0	0	0
ENSG00000005206	SPPL2B	0.187267486	0.129845581	0.027017609	0.936969938	0	1	0	1
ENSG00000005238	FAM214B	0.155136306	0.602621791	0.037952735	0.936862858	0	0	0	0
ENSG00000005243	COPZ2	0.073472639	0.844543116	0.271888975	0.22568257	0	0	0	0
ENSG00000005249	PRKAR2B	-0.661278043	3.06E-08	-0.080804621	0.779227533	0	0	0	0
ENSG00000005302	MSL3	0.037998989	0.844742571	-0.057725581	0.838309625	0	0	0	0
ENSG00000005339	CREBBP	-0.20120843	0.084634632	0.089447684	0.789742872	0	1	0	1
ENSG00000005379	TSPOAP1	-0.569509828	0.058537147	0.193294931	NA	0	0	0	0
ENSG00000005381	MPO	-0.009493528	NA	-0.001220872	NA	0	0	0	0
ENSG00000005421	PON1	-0.325266183	NA	0.021140392	NA	0	0	0	0
ENSG00000005436	GCFC2	0.195524822	0.166630338	-0.042942703	0.891134098	0	1	0	1
ENSG00000005448	WDR54	0.409841027	0.01625895	0.128409108	0.701979651	0	0	1	1
ENSG00000005469	CROT	-0.461470984	0.006654495	-0.027246315	0.953234882	0	0	0	0
ENSG00000005471	ABCB4	-0.115686205	NA	-0.032975047	NA	0	0	0	0
ENSG00000005483	KMT2E	0.044165007	0.748776058	-0.059704105	0.79698725	0	0	0	0
ENSG00000005486	RHBDD2	0.729664589	4.00E-19	-0.100846244	0.653275856	0	1	1	2
ENSG00000005700	IBTK	0.299885929	0.001752167	-0.010781263	0.978320396	0	1	0	1
ENSG00000005801	ZNF195	0.072074112	0.739096467	-0.031762945	0.939871152	0	1	0	1
ENSG00000005810	MYCBP2	0.25216408	0.040044614	0.075139457	0.798674389	0	1	0	1
ENSG00000005812	FBXL3	-0.201849153	0.104479871	0.072784819	0.790245013	0	0	0	0
ENSG00000005844	ITGAL	-0.313437087	NA	-0.107982634	NA	0	0	0	0
ENSG00000005882	PDK2	0.171974361	0.463915858	0.146890719	0.590606682	0	0	0	0
ENSG00000005884	ITGA3	0.503089556	1.30E-10	0.150066954	0.353422778	0	0	0	0
ENSG00000005889	ZFX	-0.146358697	0.381151046	0.05904467	0.835115224	0	1	0	1
ENSG00000005893	LAMP2	0.026039615	0.869201916	0.12763267	0.508669927	0	1	1	2
ENSG00000005961	ITGA2B	-0.025008797	0.96030641	-0.049152383	0.913086412	0	0	0	0
ENSG00000005981	ASB4	-0.201408729	0.560478286	0.175615233	NA	0	0	0	0
ENSG00000006007	GDE1	0.553260732	5.09E-19	0.097204309	0.565632181	0	1	1	2
ENSG00000006016	CRLF1	-0.346218385	0.215964936	0.161636962	0.590222159	0	0	0	0
ENSG00000006025	OSBPL7	-0.759827773	0.00608043	-0.063264459	NA	0	0	0	0
ENSG00000006042	TMEM98	0.117787976	0.798834664	-0.060819061	NA	0	1	0	1
ENSG00000006047	YBX2	0.161796684	0.616449321	0.320672248	NA	0	0	0	0
ENSG00000006071	ABCC8	0.007537786	NA	-0.001220872	NA	0	0	0	0
ENSG00000006116	CACNG3	-0.232261044	NA	-0.029802009	NA	NA	NA	NA	NA
ENSG00000006118	TMEM132A	0.166174459	0.319132607	0.101743755	0.719698974	0	1	0	1
ENSG00000006125	AP2B1	-0.030635961	0.713907199	-0.011572738	0.954804824	0	0	0	0
ENSG00000006194	ZNF263	0.310210718	0.019433066	0.099121486	0.707952563	0	1	0	1
ENSG00000006210	CX3CL1	0.414922624	0.200430467	0.029069094	NA	0	0	0	0
ENSG00000006282	SPATA20	-0.176089351	0.366989043	0.020837503	0.961613529	0	0	0	0
ENSG00000006283	CACNA1G	0.089556863	0.832982907	0.003131864	NA	0	0	0	0
ENSG00000006327	TNFRSF12A	0.607530268	1.71E-19	0.081168213	0.691918409	0	0	1	1
ENSG00000006377	DLX6	-0.564937727	0.004809882	-0.005108681	0.993519752	0	0	0	0
ENSG00000006432	MAP3K9	-0.224134877	0.087621358	-0.00225753	0.996167821	0	1	0	1
ENSG00000006451	RALA	-0.063268311	0.783183112	0.101453186	0.697517223	0	0	0	0
ENSG00000006453	BAIAP2L1	0.177760688	0.017274259	0.037752897	0.849408712	0	0	0	0
ENSG00000006459	KDM7A	0.317787298	0.017879106	-0.139737553	0.599772333	0	1	0	1
ENSG00000006468	ETV1	NA	NA	0.002287151	NA	0	0	0	0
ENSG00000006534	ALDH3B1	0.697319989	3.77E-14	0.068037737	0.802374334	0	0	0	0
ENSG00000006555	TTC22	-0.457083479	0.160449432	-0.204896137	NA	0	0	0	0
ENSG00000006576	PHTF2	0.068358101	0.571400846	-0.054264142	0.777952204	0	1	0	1
ENSG00000006606	CCL26	-0.021225219	NA	-0.004728895	NA	0	0	0	0
ENSG00000006607	FARP2	-0.01336643	0.948172963	-0.183099486	0.276504589	0	1	0	1
ENSG00000006611	USH1C	-0.057679141	0.841638319	0.073367275	0.835115224	0	0	0	0
ENSG00000006625	GGCT	0.198741692	0.024936744	0.025122415	0.932356006	0	0	1	1
ENSG00000006634	DBF4	-0.555937325	1.50E-07	-0.021231882	0.953234882	0	0	0	0
ENSG00000006638	TBXA2R	-0.03983456	0.925367281	0.043664851	NA	0	0	0	0
ENSG00000006652	IFRD1	0.876517202	2.74E-63	-0.066519719	0.758533492	0	1	0	1
ENSG00000006659	LGALS14	-0.248139512	0.521452176	-0.054426125	NA	NA	NA	NA	NA
ENSG00000006695	COX10	-0.18675934	0.428937107	0.009810346	0.984142155	0	0	0	0
ENSG00000006704	GTF2IRD1	-0.239377919	0.000966742	-0.091645616	0.50311149	0	0	0	0
ENSG00000006712	PAF1	-0.38479026	2.58E-07	-0.153272399	0.155459186	0	0	0	0
ENSG00000006715	VPS41	-0.041510594	0.884333373	-0.162979186	0.558597025	0	0	0	0
ENSG00000006740	ARHGAP44	0.107530228	0.640222954	0.088695668	0.792867616	0	1	0	1
ENSG00000006744	ELAC2	0.029350545	0.80771118	-0.052325808	0.80698763	0	1	0	1
ENSG00000006747	SCIN	0.261394144	0.317825569	0.159022571	0.599772333	0	0	0	0
ENSG00000006756	ARSD	0.213561648	0.522130907	0.025746735	0.959183794	0	0	0	0
ENSG00000006757	PNPLA4	-0.36951491	0.075860769	0.166830679	0.55666621	0	0	0	0
ENSG00000006831	ADIPOR2	0.350251263	1.21E-07	0.089252573	0.522841367	0	1	1	2
ENSG00000006837	CDKL3	0.482902676	0.046347223	0.051165311	NA	0	0	0	0
ENSG00000007001	UPP2	0.102295401	NA	0.002523555	NA	0	0	0	0
ENSG00000007038	PRSS21	0.254173327	0.002287305	0.102083334	0.599732537	0	0	0	0
ENSG00000007047	MARK4	-0.34362532	0.144717264	-0.036969045	0.9351654	0	0	0	0
ENSG00000007062	PROM1	0.179337807	NA	-0.015463911	NA	0	0	0	0
ENSG00000007080	CCDC124	-0.061534643	0.593695979	-0.103792846	0.555831284	0	0	0	0
ENSG00000007168	PAFAH1B1	-0.092947076	0.4378813	-0.083031903	0.678204001	0	1	0	1
ENSG00000007171	NOS2	0.172498851	NA	-0.001681641	NA	0	0	0	0
ENSG00000007174	DNAH9	0.113593121	NA	-0.014919595	NA	0	0	0	0
ENSG00000007202	KIAA0100	0.184654637	0.004432798	0.104733523	0.501172967	1	1	0	2
ENSG00000007237	GAS7	0.097074766	0.789795713	0.018305019	NA	0	0	0	0
ENSG00000007255	TRAPPC6A	-0.417710358	0.182045759	-0.015500736	NA	0	0	0	0
ENSG00000007264	MATK	0.108001445	0.667234671	0.126137593	0.714360602	0	0	0	0
ENSG00000007314	SCN4A	0.718789268	0.00798007	0.216748628	NA	0	0	0	0
ENSG00000007341	ST7L	0.475246707	6.26E-05	0.145628329	0.565632181	0	0	0	0
ENSG00000007350	TKTL1	-0.009493528	NA	0.000535812	NA	0	0	0	0
ENSG00000007372	PAX6	-0.333872361	0.17033592	-0.041384284	0.93018619	0	1	0	1
ENSG00000007376	RPUSD1	-0.172681642	0.075252235	-0.075183764	0.671004284	0	0	1	1
ENSG00000007384	RHBDF1	-0.040861126	0.90195623	0.166705328	0.568153336	0	0	0	0
ENSG00000007392	LUC7L	0.833748095	2.63E-17	0.059871605	0.850544723	0	1	0	1
ENSG00000007402	CACNA2D2	0.073177958	0.827282248	0.27476034	0.209084785	0	1	0	1
ENSG00000007516	BAIAP3	-0.185516618	0.657579252	-0.004592444	NA	0	0	0	0
ENSG00000007520	TSR3	-0.433594616	3.74E-08	-0.111550823	0.526415327	0	0	1	1
ENSG00000007541	PIGQ	0.398595442	0.000578397	0.290211021	0.051814735	0	1	1	2
ENSG00000007545	CRAMP1	0.038671656	0.877697714	-0.106032254	0.73318566	0	1	0	1
ENSG00000007866	TEAD3	0.050750248	0.802003996	0.058465899	0.867166983	0	0	0	0
ENSG00000007908	SELE	0.00438381	NA	NA	NA	0	0	0	0
ENSG00000007923	DNAJC11	0.048326254	0.632107502	-0.101943299	0.353422778	0	0	0	0
ENSG00000007933	FMO3	0.052287079	NA	0.000544417	NA	0	0	0	0
ENSG00000007944	MYLIP	0.081394946	0.842978989	0.145050745	NA	0	0	0	0
ENSG00000007952	NOX1	0.256525703	NA	-0.009473164	NA	0	0	0	0
ENSG00000007968	E2F2	-0.086972575	0.44956086	-0.0908785	0.680702799	0	0	0	0
ENSG00000008056	SYN1	0.336575315	NA	0.057323733	NA	0	0	0	0
ENSG00000008083	JARID2	-0.003713592	0.983393155	0.040567415	0.884511461	0	1	0	1
ENSG00000008086	CDKL5	-0.032187936	0.904004788	0.103646228	0.735266028	0	0	0	0
ENSG00000008118	CAMK1G	-0.230069913	NA	-0.056889159	NA	0	0	0	0
ENSG00000008128	CDK11A	-0.121588205	0.631311087	0.218897096	0.335346903	0	0	0	0
ENSG00000008130	NADK	0.299601722	0.00022968	-0.086953004	0.707338895	0	0	0	0
ENSG00000008226	DLEC1	0.402096749	0.222721773	0.122499452	NA	0	0	0	0
ENSG00000008256	CYTH3	0.289965073	0.0077055	-0.281145664	0.028097646	0	0	0	0
ENSG00000008277	ADAM22	-0.089471894	0.786274679	0.000501407	0.998873606	0	1	0	1
ENSG00000008282	SYPL1	-0.156686994	0.073847791	-0.001629907	0.996303499	1	0	1	2
ENSG00000008283	CYB561	0.972620838	1.54E-39	0.19364058	0.271662225	0	1	0	1
ENSG00000008294	SPAG9	0.353617706	0.000140176	-0.054481121	0.785955139	0	1	0	1
ENSG00000008300	CELSR3	0.539978251	1.63E-05	-0.0267345	0.951399641	0	1	0	1
ENSG00000008311	AASS	-0.00425678	NA	0.025091899	NA	0	1	0	1
ENSG00000008323	PLEKHG6	0.931738201	2.58E-06	0.054268307	NA	0	0	0	0
ENSG00000008324	SS18L2	-0.102166881	0.716551251	0.03027126	0.950069186	0	0	0	0
ENSG00000008382	MPND	-0.376274767	0.158203045	-0.143487776	0.659250388	0	0	0	0
ENSG00000008394	MGST1	0.215445675	0.029361093	-0.007771651	0.983269173	0	0	0	0
ENSG00000008405	CRY1	-0.358104792	0.020329742	-0.061623218	0.866389846	0	0	0	0
ENSG00000008438	PGLYRP1	0.419528388	NA	0.005553643	NA	0	0	0	0
ENSG00000008441	NFIX	-0.345004365	2.28E-06	-0.15588304	0.166685708	0	0	0	0
ENSG00000008513	ST3GAL1	0.236712342	0.140887609	0.155444562	0.525396481	0	0	0	0
ENSG00000008516	MMP25	0.090206063	0.785513805	-0.055554356	0.899245112	0	0	0	0
ENSG00000008517	IL32	-0.46611309	0.146591926	-0.054011796	NA	0	0	0	0
ENSG00000008710	PKD1	0.785069606	1.24E-14	-0.090924919	0.750159759	0	1	0	1
ENSG00000008735	MAPK8IP2	-0.062654804	0.900717095	-0.060374973	NA	0	0	0	0
ENSG00000008838	MED24	-0.192646691	0.046023505	-0.081790895	0.622861194	0	0	1	1
ENSG00000008853	RHOBTB2	-0.222032057	0.026939516	0.058618378	0.806258964	0	0	0	0
ENSG00000008869	HEATR5B	-0.210957034	0.149320622	-0.064893988	0.830415679	0	0	0	0
ENSG00000008952	SEC62	-0.04666522	0.802003996	-0.081824918	0.735121678	0	1	1	2
ENSG00000008988	RPS20	-0.270957641	1.48E-09	-0.044398588	0.658648435	0	0	0	0
ENSG00000009307	CSDE1	-0.284349468	3.30E-14	-0.037481593	0.750159759	0	0	0	0
ENSG00000009335	UBE3C	0.025603148	0.761795418	-0.057649432	0.659697155	0	0	0	0
ENSG00000009413	REV3L	0.176242781	0.110221845	0.073162148	0.783937977	0	1	0	1
ENSG00000009694	TENM1	0.461790738	0.034489049	-0.150327679	NA	0	0	0	0
ENSG00000009724	MASP2	0.152851678	0.710412345	0.113918056	NA	0	0	0	0
ENSG00000009765	IYD	0.642198531	0.023854634	0.170039282	NA	0	0	0	0
ENSG00000009780	FAM76A	-0.28855974	0.239844766	0.027834505	0.955460187	0	0	0	0
ENSG00000009790	TRAF3IP3	0.049822045	NA	0.002658221	NA	0	0	0	0
ENSG00000009830	POMT2	0.10916009	0.762017808	0.113349958	0.743069512	1	1	0	2
ENSG00000009844	VTA1	-0.00836151	0.972792037	-0.006541811	0.989338962	0	0	0	0
ENSG00000009950	MLXIPL	0.356417281	0.168885437	0.084639379	0.826849079	0	0	0	0
ENSG00000009954	BAZ1B	-0.14166774	0.008077879	-0.121848528	0.064519136	0	1	0	1
ENSG00000010017	RANBP9	-0.149899037	0.152474864	-0.282594457	0.00612885	0	0	0	0
ENSG00000010030	ETV7	0.457354047	0.158916364	-0.032059455	NA	0	0	0	0
ENSG00000010072	SPRTN	0.013571982	0.959949865	-0.012979999	0.974594139	0	0	0	0
ENSG00000010165	METTL13	-0.202786689	0.011190682	0.014311829	0.959013143	0	0	0	0
ENSG00000010219	DYRK4	0.231885103	0.383713697	-0.039481213	0.934490673	0	0	0	0
ENSG00000010244	ZNF207	-0.237259208	1.33E-05	-0.055774665	0.659730743	0	1	0	1
ENSG00000010256	UQCRC1	-0.102584579	0.210423665	0.006041515	0.981225038	0	0	0	0
ENSG00000010270	STARD3NL	-0.0905008	0.659873826	0.022915178	0.954843772	0	0	0	0
ENSG00000010278	CD9	-0.364411171	7.63E-05	-0.041696278	0.863886178	1	0	1	2
ENSG00000010282	HHATL	0.011322479	NA	NA	NA	0	0	0	0
ENSG00000010292	NCAPD2	-0.451981764	2.39E-18	0.043356467	0.803010016	0	0	0	0
ENSG00000010295	IFFO1	-0.155341507	0.723447417	0.116580304	NA	0	1	0	1
ENSG00000010310	GIPR	0.248345985	0.454718989	0.096935034	0.79698725	0	0	0	0
ENSG00000010318	PHF7	-0.094823191	0.820716681	-0.099675445	NA	0	0	0	0
ENSG00000010319	SEMA3G	-0.035982293	0.94416213	-0.101817167	NA	0	0	0	0
ENSG00000010322	NISCH	0.446244936	4.49E-09	-0.087747823	0.659308914	0	1	0	1
ENSG00000010327	STAB1	0.053642701	0.903880639	0.039086729	NA	0	0	0	0
ENSG00000010361	FUZ	0.094309927	NA	0.052729822	NA	0	0	0	0
ENSG00000010379	SLC6A13	0.614158468	NA	0.034962147	NA	0	0	0	0
ENSG00000010404	IDS	-0.015036665	0.960654901	0.068484867	0.851798777	1	1	0	2
ENSG00000010438	PRSS3	-0.296876438	NA	0.008086662	NA	0	0	0	0
ENSG00000010539	ZNF200	-0.095293836	0.670746885	-0.043293587	0.904738837	0	0	0	0
ENSG00000010610	CD4	0.88621667	0.000449462	0.097124206	NA	0	0	0	0
ENSG00000010626	LRRC23	0.396044537	0.097741831	-0.199356883	NA	0	0	0	0
ENSG00000010671	BTK	0.024229154	NA	-0.011126331	NA	0	0	0	0
ENSG00000010704	HFE	0.516392507	0.002398468	0.115183874	0.73508073	0	0	0	0
ENSG00000010803	SCMH1	0.414690877	0.000232538	0.099666765	0.644776169	0	0	0	0
ENSG00000010810	FYN	-0.094499598	0.490778299	0.077712493	0.745382521	0	0	0	0
ENSG00000010818	HIVEP2	-0.079208521	0.477955364	-0.074232361	0.671004284	0	0	0	0
ENSG00000010932	FMO1	-0.147881028	NA	-0.015586132	NA	0	0	0	0
ENSG00000011007	ELOA	-0.185459021	0.004035462	-0.098869051	0.42119141	0	0	0	0
ENSG00000011009	LYPLA2	0.237827969	0.021940696	0.018068949	0.961104322	0	0	0	0
ENSG00000011021	CLCN6	0.361187255	0.036626349	0.096637837	0.714661001	0	1	0	1
ENSG00000011028	MRC2	0.258251103	NA	0.015924289	NA	0	1	0	1
ENSG00000011052	NME1-NME2	0.011428528	0.971039056	0.030699427	NA	0	0	0	0
ENSG00000011105	TSPAN9	0.702438003	7.09E-07	-0.061112497	0.881277617	0	1	0	1
ENSG00000011114	BTBD7	0.030294996	0.918401861	0.102887263	0.75609512	0	1	0	1
ENSG00000011132	APBA3	0.074945654	0.715529044	-0.070503498	0.828514247	0	0	0	0
ENSG00000011143	MKS1	0.005964831	0.986929463	-0.006620474	0.990346999	0	0	0	0
ENSG00000011198	ABHD5	0.30202366	0.060474678	0.224095386	0.335346903	0	0	0	0
ENSG00000011243	AKAP8L	0.000389835	0.998994493	-0.160831329	0.291351401	0	0	0	0
ENSG00000011258	MBTD1	0.253100065	0.202512614	-0.064779541	0.859603147	0	1	0	1
ENSG00000011260	UTP18	-0.240990165	0.027750465	-0.069908534	0.784020066	0	0	0	0
ENSG00000011275	RNF216	-0.19630294	0.029538162	-0.075382263	0.718608486	0	0	0	0
ENSG00000011295	TTC19	0.570298209	1.26E-07	-0.015209758	0.96879659	0	0	1	1
ENSG00000011304	PTBP1	0.066481515	0.456950669	-0.061309847	0.722526552	0	0	0	0
ENSG00000011332	DPF1	-0.422311198	0.128935974	-0.083263423	0.82855167	0	0	0	0
ENSG00000011347	SYT7	0.28423488	0.215378094	0.202465736	0.435235637	0	0	0	0
ENSG00000011376	LARS2	0.361717044	3.22E-05	-0.004929105	0.989988115	0	1	0	1
ENSG00000011405	PIK3C2A	-0.100014478	0.560565815	0.007914553	0.983269173	0	1	0	1
ENSG00000011422	PLAUR	0.076876058	0.663971774	0.145432608	0.387979322	0	0	0	0
ENSG00000011426	ANLN	-0.296758462	1.87E-06	-0.024399426	0.92258546	0	1	0	1
ENSG00000011451	WIZ	-0.260856429	0.000134582	-0.027424351	0.900959803	0	0	0	0
ENSG00000011454	RABGAP1	0.075920806	0.63765432	-0.162085027	0.495751091	0	0	0	0
ENSG00000011465	DCN	0.066524394	0.883569589	0.008422456	NA	0	0	0	0
ENSG00000011478	QPCTL	0.45340093	0.000272905	0.223972939	0.312780518	0	1	1	2
ENSG00000011485	PPP5C	-0.050295583	0.706352004	-0.132768658	0.303798585	0	0	0	0
ENSG00000011523	CEP68	-0.277584334	0.02396216	-0.070957032	0.7941585	0	0	0	0
ENSG00000011566	MAP4K3	-0.040114483	0.839317771	0.12768139	0.602063382	0	1	0	1
ENSG00000011590	ZBTB32	-0.194302216	0.629009287	0.035928494	NA	0	0	0	0
ENSG00000011638	TMEM159	0.748992714	8.56E-07	-0.079419503	0.834559078	0	0	0	0
ENSG00000011677	GABRA3	0.491476089	0.017996793	-0.033473513	0.946693651	0	0	0	0
ENSG00000012048	BRCA1	-0.237827645	0.062479461	-0.063938944	0.798674389	0	1	0	1
ENSG00000012061	ERCC1	0.005379318	0.977028019	0.11144032	0.585061975	0	0	0	0
ENSG00000012124	CD22	0.23916506	NA	0.093173763	NA	0	0	0	0
ENSG00000012171	SEMA3B	-0.139240728	0.082887352	-0.12554997	0.055592582	0	0	0	0
ENSG00000012174	MBTPS2	-0.229073375	0.015552073	0.123071052	0.400092245	0	1	1	2
ENSG00000012211	PRICKLE3	0.152917915	0.442954879	0.000572255	0.998632675	0	0	0	0
ENSG00000012232	EXTL3	0.194331575	0.081428539	0.088865877	0.753128619	0	1	0	1
ENSG00000012504	NR1H4	0.00438381	NA	0.002287151	NA	0	0	0	0
ENSG00000012660	ELOVL5	0.172840973	0.04492744	0.063777899	0.733565025	1	1	1	3
ENSG00000012817	KDM5D	-0.04515427	NA	0.022565051	NA	NA	NA	NA	NA
